source,target,context
# DocType Names
Repair Order,أمر الإصلاح,
Device,الجهاز,
Customer,العميل,
Brand,العلامة التجارية,
Repair Status,حالة الإصلاح,
Repair Priority,أولوية الإصلاح,
Device Inspection Item,عنصر الفحص,
Repair Order Defect,عيب/خدمة,

# Repair Order - Sections
Customer Information,معلومات العميل,
Device Information,معلومات الجهاز,
Device Inspection Checklist,قائمة فحص الجهاز,
Repair Details,تفاصيل الإصلاح,
Status & Assignment,الحالة والتعيين,
Pricing,التسعير,
Tracking,التتبع,

# Repair Order - Fields
Customer Name,اسم العميل,
Contact Number,رقم الاتصال,
Email,البريد الإلكتروني,
Device Model,طراز الجهاز,
Serial Number,الرقم التسلسلي,
Device Password/PIN,كلمة المرور/الرمز,
Inspection Items,عناصر الفحص,
Defects/Services,العيوب/الخدمات,
Additional Notes (Customer),ملاحظات إضافية (العميل),
Technician Notes (Internal),ملاحظات الفني (داخلية),
Status,الحالة,
Priority,الأولوية,
Assigned Technician,الفني المعين,
Total Service Amount,إجمالي مبلغ الخدمة,
Priority Charge,رسوم الأولوية,
Tax Amount,مبلغ الضريبة,
Grand Total,المجموع الإجمالي,
Paid Amount,المبلغ المدفوع,
Payment Status,حالة الدفع,
Tracking ID,معرف التتبع,
Booking Date,تاريخ الحجز,
Expected Completion,الإنجاز المتوقع,
Actual Completion,الإنجاز الفعلي,

# Payment Status Options
Unpaid,غير مدفوع,
Partially Paid,مدفوع جزئياً,
Paid,مدفوع,

# Repair Status Values
Pending Review,قيد المراجعة,
In Progress,قيد التنفيذ,
Awaiting Parts,في انتظار القطع,
Awaiting Customer Approval,في انتظار موافقة العميل,
Testing,قيد الاختبار,
Completed,مكتمل,
Ready for Pickup,جاهز للاستلام,
Delivered,تم التسليم,
Cancelled,ملغى,
On Hold,معلق,

# Repair Priority Values
Standard,عادي,
Express,سريع,
Urgent,عاجل,
Economy,اقتصادي,

# Workspace Elements
Repair Box,صندوق الإصلاح,
Quick Actions,إجراءات سريعة,
Dashboards,لوحات المعلومات,
New Repair Order,أمر إصلاح جديد,
Add Device,إضافة جهاز,
New Checklist,قائمة فحص جديدة,
Repair Kanban,كانبان الإصلاح,
My Repairs,إصلاحاتي,
Repairs by Status,الإصلاحات حسب الحالة,
Monthly Revenue,الإيرادات الشهرية,

# Dashboard Chart Names
Repair Operations,عمليات الإصلاح,
Master Data,البيانات الرئيسية,
Inspections,الفحوصات,
Settings,الإعدادات,

# Validation Messages
Cannot mark as Delivered without full payment. Contact Manager for override.,لا يمكن وضع علامة تم التسليم بدون دفع كامل. اتصل بالمدير للتجاوز.,
Payment Required,الدفع مطلوب,
Cannot return to Pending Review status,لا يمكن العودة إلى حالة قيد المراجعة,
Invalid Status Change,تغيير حالة غير صالح,
Cannot mark repair as Completed without any defects or services.,لا يمكن وضع علامة مكتمل بدون عيوب أو خدمات.,
Completion Not Allowed,الإكمال غير مسموح,

# Print Format - Repair Receipt
REPAIR RECEIPT,إيصال الإصلاح,
Receipt,إيصال,
Customer Details,تفاصيل العميل,
Device Details,تفاصيل الجهاز,
Model,الطراز,
Serial,الرقم التسلسلي,
Services & Repairs,الخدمات والإصلاحات,
Item,العنصر,
Description,الوصف,
Price,السعر,
Service Charges,رسوم الخدمة,
Priority Fee,رسوم الأولوية,
Tax (19%),الضريبة (19%),
Total Amount,المبلغ الإجمالي,
Amount Paid,المبلغ المدفوع,
Balance Due,الرصيد المستحق,
Terms & Conditions,الشروط والأحكام,
All repairs come with a 30-day warranty,جميع الإصلاحات تأتي مع ضمان 30 يوماً,
Customer is responsible for data backup,العميل مسؤول عن نسخ البيانات احتياطياً,
Devices not collected within 90 days will be disposed,سيتم التخلص من الأجهزة غير المستلمة خلال 90 يوماً,
Thank you for your business!,شكراً لتعاملكم معنا!,

# Common Actions
Save,حفظ,
Submit,إرسال,
Cancel,إلغاء,
Delete,حذف,
Print,طباعة,
Email,إرسال بريد إلكتروني,
Duplicate,نسخ,
Refresh,تحديث,

# Common Labels
Name,الاسم,
Date,التاريخ,
Time,الوقت,
Amount,المبلغ,
Total,المجموع,
Notes,الملاحظات,
Actions,الإجراءات,
Created,تم الإنشاء,
Modified,تم التعديل,
Owner,المالك,

# Messages
Are you sure?,هل أنت متأكد؟,
Success,نجح,
Error,خطأ,
Warning,تحذير,
Please fill all required fields,يرجى ملء جميع الحقول المطلوبة,
Record saved successfully,تم حفظ السجل بنجاح,
Record deleted successfully,تم حذف السجل بنجاح,
